,Model,Dataset,Fold,Score,Metric
445,TREANT,breast-cancer,2,0.9210526315789473,adversarial accuracy
446,TREANT,breast-cancer,3,0.9210526315789473,accuracy
447,TREANT,breast-cancer,3,0.9210526315789473,adversarial accuracy
448,TREANT,breast-cancer,4,0.911504424778761,accuracy
449,TREANT,breast-cancer,4,0.911504424778761,adversarial accuracy
450,TREANT,climate-model-simulation,0,0.9074074074074074,accuracy
451,TREANT,climate-model-simulation,0,0.9074074074074074,adversarial accuracy
452,TREANT,climate-model-simulation,1,0.9166666666666666,accuracy
453,TREANT,climate-model-simulation,1,0.9166666666666666,adversarial accuracy
454,TREANT,climate-model-simulation,2,0.9166666666666666,accuracy
455,TREANT,climate-model-simulation,2,0.9166666666666666,adversarial accuracy
456,TREANT,climate-model-simulation,3,0.9166666666666666,accuracy
457,TREANT,climate-model-simulation,3,0.9166666666666666,adversarial accuracy
458,TREANT,climate-model-simulation,4,0.9166666666666666,accuracy
459,TREANT,climate-model-simulation,4,0.9166666666666666,adversarial accuracy
460,TREANT,cylinder-bands,0,0.6964285714285714,accuracy
461,TREANT,cylinder-bands,0,0.6785714285714286,adversarial accuracy
462,TREANT,cylinder-bands,1,0.6428571428571429,accuracy
463,TREANT,cylinder-bands,1,0.6428571428571428,adversarial accuracy
464,TREANT,cylinder-bands,2,0.6909090909090909,accuracy
465,TREANT,cylinder-bands,2,0.6727272727272727,adversarial accuracy
466,TREANT,cylinder-bands,3,0.4727272727272727,accuracy
467,TREANT,cylinder-bands,3,0.4727272727272728,adversarial accuracy
468,TREANT,cylinder-bands,4,0.6363636363636364,accuracy
469,TREANT,cylinder-bands,4,0.6363636363636364,adversarial accuracy
470,TREANT,diabetes,0,0.6948051948051948,accuracy
471,TREANT,diabetes,0,0.6818181818181819,adversarial accuracy
472,TREANT,diabetes,1,0.7597402597402597,accuracy
473,TREANT,diabetes,1,0.7597402597402597,adversarial accuracy
474,TREANT,diabetes,2,0.7467532467532467,accuracy
475,TREANT,diabetes,2,0.7402597402597403,adversarial accuracy
476,TREANT,diabetes,3,0.738562091503268,accuracy
477,TREANT,diabetes,3,0.738562091503268,adversarial accuracy
478,TREANT,diabetes,4,0.738562091503268,accuracy
479,TREANT,diabetes,4,0.738562091503268,adversarial accuracy
480,TREANT,haberman,0,0.6612903225806451,accuracy
481,TREANT,haberman,0,0.6612903225806452,adversarial accuracy
482,TREANT,haberman,1,0.6885245901639344,accuracy
483,TREANT,haberman,1,0.6721311475409837,adversarial accuracy
484,TREANT,haberman,2,0.7704918032786885,accuracy
485,TREANT,haberman,2,0.7213114754098361,adversarial accuracy
486,TREANT,haberman,3,0.7704918032786885,accuracy
487,TREANT,haberman,3,0.7540983606557377,adversarial accuracy
488,TREANT,haberman,4,0.7213114754098361,accuracy
489,TREANT,haberman,4,0.7213114754098361,adversarial accuracy
490,TREANT,ionosphere,0,0.9154929577464789,accuracy
491,TREANT,ionosphere,0,0.8591549295774648,adversarial accuracy
492,TREANT,ionosphere,1,0.9142857142857143,accuracy
493,TREANT,ionosphere,1,0.9142857142857143,adversarial accuracy
494,TREANT,ionosphere,2,0.8857142857142857,accuracy
495,TREANT,ionosphere,2,0.8428571428571429,adversarial accuracy
496,TREANT,ionosphere,3,0.9,accuracy
497,TREANT,ionosphere,3,0.8857142857142857,adversarial accuracy
498,TREANT,ionosphere,4,0.9142857142857143,accuracy
499,TREANT,ionosphere,4,0.8428571428571429,adversarial accuracy
500,TREANT,parkinsons,0,0.8461538461538461,accuracy
501,TREANT,parkinsons,0,0.8461538461538461,adversarial accuracy
502,TREANT,parkinsons,1,0.7692307692307693,accuracy
503,TREANT,parkinsons,1,0.7692307692307692,adversarial accuracy
504,TREANT,parkinsons,2,0.8205128205128205,accuracy
505,TREANT,parkinsons,2,0.7948717948717949,adversarial accuracy
506,TREANT,parkinsons,3,0.9487179487179487,accuracy
507,TREANT,parkinsons,3,0.9230769230769231,adversarial accuracy
508,TREANT,parkinsons,4,0.8461538461538461,accuracy
509,TREANT,parkinsons,4,0.7692307692307692,adversarial accuracy
510,TREANT,planning-relax,0,0.7027027027027027,accuracy
511,TREANT,planning-relax,0,0.7027027027027026,adversarial accuracy
512,TREANT,planning-relax,1,0.7027027027027027,accuracy
513,TREANT,planning-relax,1,0.7027027027027026,adversarial accuracy
514,TREANT,planning-relax,2,0.6944444444444444,accuracy
515,TREANT,planning-relax,2,0.6944444444444444,adversarial accuracy
516,TREANT,planning-relax,3,0.7222222222222222,accuracy
517,TREANT,planning-relax,3,0.7222222222222222,adversarial accuracy
518,TREANT,planning-relax,4,0.7222222222222222,accuracy
519,TREANT,planning-relax,4,0.7222222222222222,adversarial accuracy
520,TREANT,sonar,0,0.6190476190476191,accuracy
521,TREANT,sonar,0,0.4285714285714286,adversarial accuracy
522,TREANT,sonar,1,0.6904761904761905,accuracy
523,TREANT,sonar,1,0.45238095238095233,adversarial accuracy
524,TREANT,sonar,2,0.7142857142857143,accuracy
525,TREANT,sonar,2,0.5952380952380952,adversarial accuracy
526,TREANT,sonar,3,0.6341463414634146,accuracy
527,TREANT,sonar,3,0.5609756097560976,adversarial accuracy
528,TREANT,sonar,4,0.6341463414634146,accuracy
529,TREANT,sonar,4,0.46341463414634143,adversarial accuracy
530,TREANT,spambase,0,0.8697068403908795,accuracy
531,TREANT,spambase,0,0.8425624321389794,adversarial accuracy
532,TREANT,spambase,1,0.8369565217391305,accuracy
533,TREANT,spambase,1,0.8152173913043479,adversarial accuracy
534,TREANT,spambase,2,0.8728260869565218,accuracy
535,TREANT,spambase,2,0.8369565217391304,adversarial accuracy
536,TREANT,spambase,3,0.875,accuracy
537,TREANT,spambase,3,0.8532608695652174,adversarial accuracy
538,TREANT,spambase,4,0.8565217391304348,accuracy
539,TREANT,spambase,4,0.8358695652173913,adversarial accuracy
540,TREANT,SPECTF,0,0.7222222222222222,accuracy
541,TREANT,SPECTF,0,0.7222222222222222,adversarial accuracy
542,TREANT,SPECTF,1,0.7222222222222222,accuracy
543,TREANT,SPECTF,1,0.6296296296296297,adversarial accuracy
544,TREANT,SPECTF,2,0.8113207547169812,accuracy
545,TREANT,SPECTF,2,0.7358490566037736,adversarial accuracy
546,TREANT,SPECTF,3,0.8301886792452831,accuracy
547,TREANT,SPECTF,3,0.7924528301886793,adversarial accuracy
548,TREANT,SPECTF,4,0.7358490566037735,accuracy
549,TREANT,SPECTF,4,0.7169811320754718,adversarial accuracy
550,TREANT,wine,0,0.6923076923076923,accuracy
551,TREANT,wine,0,0.6823076923076923,adversarial accuracy
552,TREANT,wine,1,0.6823076923076923,accuracy
553,TREANT,wine,1,0.6453846153846154,adversarial accuracy
554,TREANT,wine,2,0.6805234795996921,accuracy
555,TREANT,wine,2,0.665896843725943,adversarial accuracy
556,TREANT,wine,3,0.6820631254811393,accuracy
557,TREANT,wine,3,0.6728252501924558,adversarial accuracy
558,TREANT,wine,4,0.7159353348729792,accuracy
559,TREANT,wine,4,0.6843725943033102,adversarial accuracy
