,Model,Dataset,Fold,Score,Metric
83,Chen et al.,parkinsons,1,0.6923076923076923,adversarial accuracy
84,Chen et al.,parkinsons,2,0.8205128205128205,accuracy
85,Chen et al.,parkinsons,2,0.8205128205128205,adversarial accuracy
86,Chen et al.,parkinsons,3,0.8461538461538461,accuracy
87,Chen et al.,parkinsons,3,0.8205128205128205,adversarial accuracy
88,Chen et al.,parkinsons,4,0.8717948717948718,accuracy
89,Chen et al.,parkinsons,4,0.7948717948717949,adversarial accuracy
90,Chen et al.,planning-relax,0,0.7297297297297297,accuracy
91,Chen et al.,planning-relax,0,0.6486486486486487,adversarial accuracy
92,Chen et al.,planning-relax,1,0.5945945945945946,accuracy
93,Chen et al.,planning-relax,1,0.5405405405405406,adversarial accuracy
94,Chen et al.,planning-relax,2,0.7222222222222222,accuracy
95,Chen et al.,planning-relax,2,0.6944444444444444,adversarial accuracy
96,Chen et al.,planning-relax,3,0.7222222222222222,accuracy
97,Chen et al.,planning-relax,3,0.6944444444444444,adversarial accuracy
98,Chen et al.,planning-relax,4,0.7222222222222222,accuracy
99,Chen et al.,planning-relax,4,0.6944444444444444,adversarial accuracy
100,Chen et al.,sonar,0,0.7857142857142857,accuracy
101,Chen et al.,sonar,0,0.38095238095238093,adversarial accuracy
102,Chen et al.,sonar,1,0.6904761904761905,accuracy
103,Chen et al.,sonar,1,0.45238095238095233,adversarial accuracy
104,Chen et al.,sonar,2,0.6428571428571429,accuracy
105,Chen et al.,sonar,2,0.19047619047619047,adversarial accuracy
106,Chen et al.,sonar,3,0.6097560975609756,accuracy
107,Chen et al.,sonar,3,0.3414634146341463,adversarial accuracy
108,Chen et al.,sonar,4,0.5853658536585366,accuracy
109,Chen et al.,sonar,4,0.31707317073170727,adversarial accuracy
110,Chen et al.,spambase,0,0.8849077090119435,accuracy
111,Chen et al.,spambase,0,0.8393051031487514,adversarial accuracy
112,Chen et al.,spambase,1,0.8880434782608696,accuracy
113,Chen et al.,spambase,1,0.8304347826086956,adversarial accuracy
114,Chen et al.,spambase,2,0.8945652173913043,accuracy
115,Chen et al.,spambase,2,0.8369565217391304,adversarial accuracy
116,Chen et al.,spambase,3,0.8815217391304347,accuracy
117,Chen et al.,spambase,3,0.8402173913043478,adversarial accuracy
118,Chen et al.,spambase,4,0.9054347826086957,accuracy
119,Chen et al.,spambase,4,0.866304347826087,adversarial accuracy
120,Chen et al.,SPECTF,0,0.6851851851851852,accuracy
121,Chen et al.,SPECTF,0,0.6851851851851851,adversarial accuracy
122,Chen et al.,SPECTF,1,0.7222222222222222,accuracy
123,Chen et al.,SPECTF,1,0.7037037037037037,adversarial accuracy
124,Chen et al.,SPECTF,2,0.8113207547169812,accuracy
125,Chen et al.,SPECTF,2,0.8113207547169812,adversarial accuracy
126,Chen et al.,SPECTF,3,0.8113207547169812,accuracy
127,Chen et al.,SPECTF,3,0.8113207547169812,adversarial accuracy
128,Chen et al.,SPECTF,4,0.7735849056603774,accuracy
129,Chen et al.,SPECTF,4,0.7547169811320755,adversarial accuracy
130,Chen et al.,wine,0,0.686923076923077,accuracy
131,Chen et al.,wine,0,0.5623076923076923,adversarial accuracy
132,Chen et al.,wine,1,0.693076923076923,accuracy
133,Chen et al.,wine,1,0.6469230769230769,adversarial accuracy
134,Chen et al.,wine,2,0.6989992301770592,accuracy
135,Chen et al.,wine,2,0.6612779060816012,adversarial accuracy
136,Chen et al.,wine,3,0.6797536566589685,accuracy
137,Chen et al.,wine,3,0.6327944572748267,adversarial accuracy
138,Chen et al.,wine,4,0.7059276366435719,accuracy
139,Chen et al.,wine,4,0.6720554272517321,adversarial accuracy
140,GROOT,banknote-authentication,0,0.9418181818181818,accuracy
141,GROOT,banknote-authentication,0,0.9381818181818182,adversarial accuracy
142,GROOT,banknote-authentication,1,0.92,accuracy
143,GROOT,banknote-authentication,1,0.9163636363636364,adversarial accuracy
144,GROOT,banknote-authentication,2,0.9708029197080292,accuracy
145,GROOT,banknote-authentication,2,0.948905109489051,adversarial accuracy
146,GROOT,banknote-authentication,3,0.9708029197080292,accuracy
147,GROOT,banknote-authentication,3,0.9598540145985401,adversarial accuracy
148,GROOT,banknote-authentication,4,0.9635036496350365,accuracy
149,GROOT,banknote-authentication,4,0.9525547445255474,adversarial accuracy
150,GROOT,blood-transfusion,0,0.7933333333333333,accuracy
151,GROOT,blood-transfusion,0,0.7933333333333333,adversarial accuracy
152,GROOT,blood-transfusion,1,0.7733333333333333,accuracy
153,GROOT,blood-transfusion,1,0.7733333333333333,adversarial accuracy
154,GROOT,blood-transfusion,2,0.78,accuracy
155,GROOT,blood-transfusion,2,0.78,adversarial accuracy
156,GROOT,blood-transfusion,3,0.785234899328859,accuracy
157,GROOT,blood-transfusion,3,0.785234899328859,adversarial accuracy
158,GROOT,blood-transfusion,4,0.7114093959731543,accuracy
159,GROOT,blood-transfusion,4,0.7114093959731543,adversarial accuracy
160,GROOT,breast-cancer,0,0.9298245614035088,accuracy
161,GROOT,breast-cancer,0,0.9298245614035088,adversarial accuracy
162,GROOT,breast-cancer,1,0.9385964912280702,accuracy
163,GROOT,breast-cancer,1,0.9385964912280702,adversarial accuracy
164,GROOT,breast-cancer,2,0.9210526315789473,accuracy
165,GROOT,breast-cancer,2,0.9122807017543859,adversarial accuracy
166,GROOT,breast-cancer,3,0.9210526315789473,accuracy
167,GROOT,breast-cancer,3,0.9122807017543859,adversarial accuracy
168,GROOT,breast-cancer,4,0.9380530973451328,accuracy
169,GROOT,breast-cancer,4,0.9380530973451328,adversarial accuracy
